2026-02-26 10:53:29 | DEBUG    | shortsqueeze.signals:scan_stock - SONY: No signal - price=True (+5.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($22.48 vs VWAP $21.39), squeeze=False, mom=False
2026-02-26 10:53:29 | DEBUG    | shortsqueeze.signals:scan_stock - LSEGY: Alpaca returned insufficient data, trying Yahoo...
2026-02-26 10:53:30 | DEBUG    | shortsqueeze.signals:scan_stock - LSEGY: Got 23 bars from Yahoo
2026-02-26 10:53:30 | DEBUG    | shortsqueeze.signals:scan_stock - LSEGY: price=$28.92, prev_close=$26.64 (source: yahoo)
2026-02-26 10:53:30 | DEBUG    | shortsqueeze.signals:scan_stock - LSEGY: Using Yahoo volume=112,455
2026-02-26 10:53:30 | DEBUG    | shortsqueeze.signals:scan_stock - LSEGY: No signal - price=True (+8.6%, need +5.0%), vol=False (ratio=0.1x, need 3.0x, src=yahoo), vwap=True, squeeze=False, mom=False
2026-02-26 10:53:30 | DEBUG    | shortsqueeze.signals:scan_stock - CMPX: price=$5.62, prev_close=$5.89 (source: yahoo)
2026-02-26 10:53:31 | DEBUG    | shortsqueeze.signals:scan_stock - CMPX: No signal - price=False (-4.5%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($5.62 vs VWAP $5.89), squeeze=False, mom=False
2026-02-26 10:53:31 | DEBUG    | shortsqueeze.signals:scan_stock - EWY: price=$148.90, prev_close=$148.89 (source: yahoo)
2026-02-26 10:53:31 | DEBUG    | shortsqueeze.signals:scan_stock - EWY: No signal - price=False (+0.0%, need +5.0%), vol=False (ratio=0.1x, need 3.0x, src=alpaca), vwap=False ($148.90 vs VWAP $149.12), squeeze=False, mom=False
2026-02-26 10:53:32 | DEBUG    | shortsqueeze.signals:scan_stock - CAG: price=$18.66, prev_close=$18.67 (source: yahoo)
2026-02-26 10:53:32 | DEBUG    | shortsqueeze.signals:scan_stock - CAG: Using Yahoo volume=5,636,158
2026-02-26 10:53:32 | DEBUG    | shortsqueeze.signals:scan_stock - CAG: No signal - price=False (-0.0%, need +5.0%), vol=False (ratio=0.8x, need 3.0x, src=yahoo), vwap=True ($18.66 vs VWAP $18.55), squeeze=False, mom=False
2026-02-26 10:53:33 | DEBUG    | shortsqueeze.signals:scan_stock - QURE: price=$16.98, prev_close=$24.82 (source: yahoo)
2026-02-26 10:53:33 | DEBUG    | shortsqueeze.signals:scan_stock - QURE: No signal - price=False (-31.6%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($16.98 vs VWAP $24.18), squeeze=False, mom=False
2026-02-26 10:53:33 | DEBUG    | shortsqueeze.signals:scan_stock - RELX: price=$33.80, prev_close=$32.69 (source: yahoo)
2026-02-26 10:53:33 | DEBUG    | shortsqueeze.signals:scan_stock - RELX: No signal - price=False (+3.4%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($33.80 vs VWAP $32.78), squeeze=False, mom=False
2026-02-26 10:53:34 | DEBUG    | shortsqueeze.signals:scan_stock - IVR: price=$8.46, prev_close=$8.39 (source: yahoo)
2026-02-26 10:53:34 | DEBUG    | shortsqueeze.signals:scan_stock - IVR: Using Yahoo volume=1,100,543
2026-02-26 10:53:34 | DEBUG    | shortsqueeze.signals:scan_stock - IVR: No signal - price=False (+0.9%, need +5.0%), vol=False (ratio=0.8x, need 3.0x, src=yahoo), vwap=True ($8.46 vs VWAP $8.32), squeeze=False, mom=False
2026-02-26 10:53:35 | DEBUG    | shortsqueeze.signals:scan_stock - IBB: price=$174.36, prev_close=$175.30 (source: yahoo)
2026-02-26 10:53:35 | DEBUG    | shortsqueeze.signals:scan_stock - IBB: Using Yahoo volume=677,881
