2026-02-19 07:39:47 | DEBUG    | shortsqueeze.signals:scan_stock - VZLA: No signal - price=False (+1.7%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($3.83 vs VWAP $3.76), squeeze=False, mom=False
2026-02-19 07:39:48 | DEBUG    | shortsqueeze.signals:scan_stock - ARBE: price=$1.10, prev_close=$1.09 (source: yahoo)
2026-02-19 07:39:48 | DEBUG    | shortsqueeze.signals:scan_stock - ARBE: No signal - price=False (+1.4%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($1.10 vs VWAP $1.12), squeeze=False, mom=False
2026-02-19 07:39:48 | INFO     | shortsqueeze.signals:scan_watchlist - Scan complete: 194 stocks scanned, 0 signals detected, 0 errors
2026-02-19 07:39:48 | INFO     | shortsqueeze.bot:_run_scan - No signals detected
2026-02-19 07:41:18 | INFO     | shortsqueeze.bot:_run_scan - Running intraday scan...
2026-02-19 07:41:19 | INFO     | shortsqueeze.signals:scan_watchlist - Scanning 194 stocks from watchlist...
2026-02-19 07:41:20 | DEBUG    | shortsqueeze.signals:scan_stock - PLAY: price=$16.49, prev_close=$16.51 (source: yahoo)
2026-02-19 07:41:20 | DEBUG    | shortsqueeze.signals:scan_stock - PLAY: No signal - price=False (-0.1%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($16.49 vs VWAP $16.47), squeeze=False, mom=False
2026-02-19 07:41:21 | DEBUG    | shortsqueeze.signals:scan_stock - DBI: price=$7.72, prev_close=$7.34 (source: yahoo)
2026-02-19 07:41:21 | DEBUG    | shortsqueeze.signals:scan_stock - DBI: No Alpaca intraday data, trying Finnhub...
2026-02-19 07:41:22 | DEBUG    | shortsqueeze.broker.finnhub_data:_request - Finnhub stock/candle: HTTP 403
2026-02-19 07:41:22 | DEBUG    | shortsqueeze.signals:scan_stock - DBI: Using Yahoo volume=21,080
2026-02-19 07:41:22 | DEBUG    | shortsqueeze.signals:scan_stock - DBI: No signal - price=True (+5.2%, need +5.0%), vol=False (ratio=0.9x, need 3.0x, src=yahoo), vwap=True ($7.72 vs VWAP $7.36), squeeze=False, mom=False
2026-02-19 07:41:22 | DEBUG    | shortsqueeze.signals:scan_stock - HTZ: price=$4.89, prev_close=$5.30 (source: yahoo)
2026-02-19 07:41:22 | DEBUG    | shortsqueeze.signals:scan_stock - HTZ: No signal - price=False (-7.6%, need +5.0%), vol=False (ratio=0.1x, need 3.0x, src=alpaca), vwap=False ($4.89 vs VWAP $5.23), squeeze=False, mom=False
2026-02-19 07:41:23 | DEBUG    | shortsqueeze.signals:scan_stock - KALV: price=$15.29, prev_close=$15.45 (source: yahoo)
2026-02-19 07:41:23 | DEBUG    | shortsqueeze.signals:scan_stock - KALV: No Alpaca intraday data, trying Finnhub...
2026-02-19 07:41:24 | DEBUG    | shortsqueeze.broker.finnhub_data:_request - Finnhub stock/candle: HTTP 403
2026-02-19 07:41:24 | DEBUG    | shortsqueeze.signals:scan_stock - KALV: Using Yahoo volume=32,039
2026-02-19 07:41:24 | DEBUG    | shortsqueeze.signals:scan_stock - KALV: No signal - price=False (-1.1%, need +5.0%), vol=False (ratio=1.7x, need 3.0x, src=yahoo), vwap=False ($15.29 vs VWAP $15.33), squeeze=False, mom=False
2026-02-19 07:41:24 | DEBUG    | shortsqueeze.signals:scan_stock - CLSK: price=$9.09, prev_close=$9.27 (source: yahoo)
2026-02-19 07:41:25 | DEBUG    | shortsqueeze.signals:scan_stock - CLSK: No signal - price=False (-2.0%, need +5.0%), vol=False (ratio=0.1x, need 3.0x, src=alpaca), vwap=False ($9.09 vs VWAP $9.28), squeeze=False, mom=False
2026-02-19 07:41:25 | DEBUG    | shortsqueeze.signals:scan_stock - NTLA: price=$13.09, prev_close=$12.48 (source: yahoo)
2026-02-19 07:41:25 | DEBUG    | shortsqueeze.signals:scan_stock - NTLA: No signal - price=False (+4.8%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($13.09 vs VWAP $12.50), squeeze=False, mom=False
2026-02-19 07:41:26 | DEBUG    | shortsqueeze.signals:scan_stock - LCID: price=$9.57, prev_close=$9.80 (source: yahoo)
2026-02-19 07:41:26 | DEBUG    | shortsqueeze.signals:scan_stock - LCID: No signal - price=False (-2.3%, need +5.0%), vol=False (ratio=0.1x, need 3.0x, src=alpaca), vwap=False ($9.57 vs VWAP $9.92), squeeze=False, mom=False
2026-02-19 07:41:27 | DEBUG    | shortsqueeze.signals:scan_stock - PCT: price=$8.71, prev_close=$8.90 (source: yahoo)
2026-02-19 07:41:27 | DEBUG    | shortsqueeze.signals:scan_stock - PCT: No signal - price=False (-2.1%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($8.71 vs VWAP $8.94), squeeze=False, mom=False
2026-02-19 07:41:27 | DEBUG    | shortsqueeze.signals:scan_stock - HIMS: price=$15.85, prev_close=$15.85 (source: yahoo)
2026-02-19 07:41:28 | DEBUG    | shortsqueeze.signals:scan_stock - HIMS: No signal - price=False (+0.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($15.85 vs VWAP $15.98), squeeze=False, mom=False
2026-02-19 07:41:28 | DEBUG    | shortsqueeze.signals:scan_stock - CBRL: price=$15.99, prev_close=$32.95 (source: yahoo)
2026-02-19 07:41:28 | DEBUG    | shortsqueeze.signals:scan_stock - CBRL: No signal - price=False (-51.5%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($15.99 vs VWAP $33.22), squeeze=False, mom=False
2026-02-19 07:41:29 | DEBUG    | shortsqueeze.signals:scan_stock - GRPN: price=$6.47, prev_close=$13.49 (source: yahoo)
2026-02-19 07:41:29 | DEBUG    | shortsqueeze.signals:scan_stock - GRPN: No signal - price=False (-52.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($6.47 vs VWAP $13.26), squeeze=False, mom=False
2026-02-19 07:41:29 | DEBUG    | shortsqueeze.signals:scan_stock - IBRX: price=$7.86, prev_close=$8.54 (source: yahoo)
2026-02-19 07:41:30 | DEBUG    | shortsqueeze.signals:scan_stock - IBRX: No signal - price=False (-8.0%, need +5.0%), vol=False (ratio=0.2x, need 3.0x, src=alpaca), vwap=True ($7.86 vs VWAP $7.78), squeeze=False, mom=False
2026-02-19 07:41:30 | DEBUG    | shortsqueeze.signals:scan_stock - ULCC: price=$1.80, prev_close=$5.26 (source: yahoo)
2026-02-19 07:41:30 | DEBUG    | shortsqueeze.signals:scan_stock - ULCC: No Alpaca intraday data, trying Finnhub...
2026-02-19 07:41:31 | DEBUG    | shortsqueeze.broker.finnhub_data:_request - Finnhub stock/candle: HTTP 403
2026-02-19 07:41:31 | DEBUG    | shortsqueeze.signals:scan_stock - ULCC: Using Yahoo volume=176,907
2026-02-19 07:41:31 | DEBUG    | shortsqueeze.signals:scan_stock - ULCC: No signal - price=False (-65.8%, need +5.0%), vol=False (ratio=1.9x, need 3.0x, src=yahoo), vwap=False ($1.80 vs VWAP $5.29), squeeze=False, mom=False
2026-02-19 07:41:32 | DEBUG    | shortsqueeze.signals:scan_stock - LENZ: price=$12.43, prev_close=$12.77 (source: yahoo)
2026-02-19 07:41:32 | DEBUG    | shortsqueeze.signals:scan_stock - LENZ: No Alpaca intraday data, trying Finnhub...
2026-02-19 07:41:33 | DEBUG    | shortsqueeze.broker.finnhub_data:_request - Finnhub stock/candle: HTTP 403
2026-02-19 07:41:33 | DEBUG    | shortsqueeze.signals:scan_stock - LENZ: Using Yahoo volume=26,730
2026-02-19 07:41:33 | DEBUG    | shortsqueeze.signals:scan_stock - LENZ: No signal - price=False (-2.7%, need +5.0%), vol=False (ratio=1.0x, need 3.0x, src=yahoo), vwap=False ($12.43 vs VWAP $12.99), squeeze=False, mom=False
2026-02-19 07:41:33 | DEBUG    | shortsqueeze.signals:scan_stock - TNGX: price=$12.45, prev_close=$12.41 (source: yahoo)
2026-02-19 07:41:33 | DEBUG    | shortsqueeze.signals:scan_stock - TNGX: No Alpaca intraday data, trying Finnhub...
2026-02-19 07:41:34 | DEBUG    | shortsqueeze.broker.finnhub_data:_request - Finnhub stock/candle: HTTP 403
2026-02-19 07:41:34 | DEBUG    | shortsqueeze.signals:scan_stock - TNGX: Using Yahoo volume=175,648
2026-02-19 07:41:34 | DEBUG    | shortsqueeze.signals:scan_stock - TNGX: No signal - price=False (+0.3%, need +5.0%), vol=False (ratio=2.7x, need 3.0x, src=yahoo), vwap=False ($12.45 vs VWAP $12.67), squeeze=False, mom=False
2026-02-19 07:41:35 | DEBUG    | shortsqueeze.signals:scan_stock - MARA: price=$7.41, prev_close=$7.50 (source: yahoo)
2026-02-19 07:41:35 | DEBUG    | shortsqueeze.signals:scan_stock - MARA: No signal - price=False (-1.3%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($7.41 vs VWAP $7.58), squeeze=False, mom=False
2026-02-19 07:41:36 | DEBUG    | shortsqueeze.signals:scan_stock - GO: price=$10.30, prev_close=$10.32 (source: yahoo)
2026-02-19 07:41:36 | DEBUG    | shortsqueeze.signals:scan_stock - GO: No Alpaca intraday data, trying Finnhub...
2026-02-19 07:41:36 | DEBUG    | shortsqueeze.broker.finnhub_data:_request - Finnhub stock/candle: HTTP 403
2026-02-19 07:41:36 | DEBUG    | shortsqueeze.signals:scan_stock - GO: Using Yahoo volume=164,749
2026-02-19 07:41:36 | DEBUG    | shortsqueeze.signals:scan_stock - GO: No signal - price=False (-0.2%, need +5.0%), vol=False (ratio=2.8x, need 3.0x, src=yahoo), vwap=True ($10.30 vs VWAP $10.24), squeeze=False, mom=False
